goi	ten	tac_gia	license	gia	tag	cach_lay
luizmelo/fire-worm	Fire Worm	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/fire-worm  (o repo quoc-chien)
screamingbrainstudios/isotilepack	Isometric Tiles - Floor Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/isotilepack  (o repo quoc-chien)
ggbot/public-pixel-font	Public Pixel Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/public-pixel-font  (o repo quoc-chien)
ansimuz/bulkhead-walls-environment	Bulkhead Walls Environment	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/bulkhead-walls-environment  (o repo quoc-chien)
luizmelo/huntress	Huntress	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/huntress  (o repo quoc-chien)
laredgames/gems-coins-free	Gems / Coins Free	laredgames	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs laredgames/gems-coins-free  (o repo quoc-chien)
o-lobster/simple-dungeon-crawler-16x16-pixel-pack	Simple Dungeon Crawler 16x16 Pixel Art Asset Pack	o-lobster	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs o-lobster/simple-dungeon-crawler-16x16-pixel-pack  (o repo quoc-chien)
octoshrimpy/tranquil-tunnels	Tranquil Tunnels	octoshrimpy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs octoshrimpy/tranquil-tunnels  (o repo quoc-chien)
screamingbrainstudios/circular-texture-pack	Circular Texture Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/circular-texture-pack  (o repo quoc-chien)
luizmelo/martial-hero-2	Martial Hero 2	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/martial-hero-2  (o repo quoc-chien)
jestan/weapons-pack	The Ultimate Weapons Pack	jestan	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs jestan/weapons-pack  (o repo quoc-chien)
luizmelo/medieval-warrior-pack	Medieval Warrior Pack	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luizmelo/medieval-warrior-pack  (o repo quoc-chien)
ansimuz/caverns-environment	Caverns Environment	ansimuz	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ansimuz/caverns-environment  (o repo quoc-chien)
0x72/microfantasy	µFantasy Tileset	0x72	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs 0x72/microfantasy  (o repo quoc-chien)
stealthix/various-backgrounds	Pixel-Art Backgrounds	stealthix	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs stealthix/various-backgrounds  (o repo quoc-chien)
wenrexa/uilight	Free Pro UI Light Minimalism	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/uilight  (o repo quoc-chien)
crumpaloo/whimsy-hallow	Free - Whimsy Hallow Asset Pack - Dungeon	crumpaloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs crumpaloo/whimsy-hallow  (o repo quoc-chien)
styloo/2d-city	2D City Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs styloo/2d-city  (o repo quoc-chien)
rgsdev/animated-stick-figure-character-2d-free-cc0	Animated Stick Figure Character 2D Free CC0	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs rgsdev/animated-stick-figure-character-2d-free-cc0  (o repo quoc-chien)
