goi	ten	tac_gia	license	gia	tag	cach_lay
luizmelo/enemies-fantasy	Enemies Fantasy	luizmelo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$12	2d	node tools/tai_itch.mjs luizmelo/enemies-fantasy  (o repo quoc-chien)
luke100000/textures	300+ CC0 Low-Res Textures (32/64px, PBR/baked)	luke100000	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs luke100000/textures  (o repo quoc-chien)
aspecsgaming/mini-pixel-playing-cards	Pixel Poker Cards	aspecsgaming	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs aspecsgaming/mini-pixel-playing-cards  (o repo quoc-chien)
phobicpaul/low-poly-64x64-textures	Low-poly (64x64) Textures	phobicpaul	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs phobicpaul/low-poly-64x64-textures  (o repo quoc-chien)
sourix5042/generic-grassdirt-tileset	Generic Grass/Dirt Tileset	sourix5042	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs sourix5042/generic-grassdirt-tileset  (o repo quoc-chien)
wenrexa/icons2	Assets: UI Icons Pack Free #2	wenrexa	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs wenrexa/icons2  (o repo quoc-chien)
btl-games/8bit-horror-tiles-sprites	8-BIT HORROR TILES & SPRITES	btl-games	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs btl-games/8bit-horror-tiles-sprites  (o repo quoc-chien)
screamingbrainstudios/simple-game-button	Simple Game Button Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs screamingbrainstudios/simple-game-button  (o repo quoc-chien)
kevins-moms-house/desertsprites	desertSprites_	kevins-moms-house	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs kevins-moms-house/desertsprites  (o repo quoc-chien)
ggbot/unitblock-font	Unitblock Font - CC0	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs ggbot/unitblock-font  (o repo quoc-chien)
jik-a-4/metrocity	MetroCity - Free Top Down Interior Asset Pack	jik-a-4	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	2d	node tools/tai_itch.mjs jik-a-4/metrocity  (o repo quoc-chien)
quaternius/universal-animation-library	Universal Animation Library	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/universal-animation-library  (o repo quoc-chien)
quaternius/stylized-nature-megakit	Stylized Nature MegaKit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/stylized-nature-megakit  (o repo quoc-chien)
kaylousberg/kaykit-adventurers	KayKit - Character Pack : Adventurers	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-adventurers  (o repo quoc-chien)
kaylousberg/kaykit-forest	KayKit - Forest Nature Pack	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-forest  (o repo quoc-chien)
quaternius/universal-base-characters	Universal Base Characters	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/universal-base-characters  (o repo quoc-chien)
kaylousberg/kaykit-dungeon-pack	KayKit - Dungeon Pack	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-dungeon-pack  (o repo quoc-chien)
quaternius/medieval-village-megakit	Medieval Village MegaKit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/medieval-village-megakit  (o repo quoc-chien)
kaylousberg/kaykit-complete	The Complete KayKit	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$150	3d	node tools/tai_itch.mjs kaylousberg/kaykit-complete  (o repo quoc-chien)
kaylousberg/kaykit-character-animations	KayKit - Character Animations	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-character-animations  (o repo quoc-chien)
kaylousberg/kaykit-skeletons	KayKit - Character Pack : Skeletons	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-skeletons  (o repo quoc-chien)
kaylousberg/resource-bits	KayKit : Resource Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/resource-bits  (o repo quoc-chien)
kaylousberg/kaykit-medieval-hexagon	KayKit - Medieval Hexagon Pack	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-medieval-hexagon  (o repo quoc-chien)
kaylousberg/mixed-bag-1	KayKit - Mixed Bag 1	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/mixed-bag-1  (o repo quoc-chien)
kaylousberg/kaykit-platformer	KayKit - Platformer Pack	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/kaykit-platformer  (o repo quoc-chien)
quaternius/modular-character-outfits-fantasy	Modular Character Outfits - Fantasy	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/modular-character-outfits-fantasy  (o repo quoc-chien)
quaternius/fantasy-props-megakit	Fantasy Props MegaKit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/fantasy-props-megakit  (o repo quoc-chien)
kaylousberg/rpg-tools-bits	KayKit : RPG Tools Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/rpg-tools-bits  (o repo quoc-chien)
kaylousberg/fantasy-weapons-bits	KayKit : Fantasy Weapons Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/fantasy-weapons-bits  (o repo quoc-chien)
kaylousberg/halloween-bits	KayKit : Halloween Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/halloween-bits  (o repo quoc-chien)
kaylousberg/furniture-bits	KayKit : Furniture Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/furniture-bits  (o repo quoc-chien)
kaylousberg/city-builder-bits	KayKit : City Builder Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/city-builder-bits  (o repo quoc-chien)
kaylousberg/prototype-bits	KayKit : Prototype Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/prototype-bits  (o repo quoc-chien)
quaternius/modular-sci-fi-megakit	Modular Sci-Fi MegaKit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/modular-sci-fi-megakit  (o repo quoc-chien)
kaylousberg/space-base-bits	KayKit : Space Base Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/space-base-bits  (o repo quoc-chien)
kaylousberg/restaurant-bits	KayKit : Restaurant Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/restaurant-bits  (o repo quoc-chien)
kaylousberg/block-bits	KayKit : Block Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/block-bits  (o repo quoc-chien)
rgsdev/free-3d-modular-low-poly-assets-for-prototyping-by-rgsdev	Free 3D Modular Low Poly Assets For Prototyping	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs rgsdev/free-3d-modular-low-poly-assets-for-prototyping-by-rgsdev  (o repo quoc-chien)
ggbot/psx-style-cars	PSX Style Cars	ggbot	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs ggbot/psx-style-cars  (o repo quoc-chien)
kaylousberg/board-game-bits	KayKit : Board Game Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/board-game-bits  (o repo quoc-chien)
quaternius/downtown-city-megakit	Downtown City MegaKit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/downtown-city-megakit  (o repo quoc-chien)
styloo/guns-asset-pack	Guns Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/guns-asset-pack  (o repo quoc-chien)
quaternius/sci-fi-essentials-kit	Sci-Fi Essentials Kit	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/sci-fi-essentials-kit  (o repo quoc-chien)
kaylousberg/kaykit-series-5	KayKit - Character Pack : Mystery Monthly Series 5	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$19.99	3d	node tools/tai_itch.mjs kaylousberg/kaykit-series-5  (o repo quoc-chien)
fertile-soil-productions/modular-village-pack	Modular Village Pack	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/modular-village-pack  (o repo quoc-chien)
binbun3d/godot-skies	Godot Skies	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/godot-skies  (o repo quoc-chien)
binbun3d/godot-ultimate-toon-shader	Godot Ultimate Toon Shader	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/godot-ultimate-toon-shader  (o repo quoc-chien)
screamingbrainstudios/horror-texture-pack	Horror Texture Pack	screamingbrainstudios	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs screamingbrainstudios/horror-texture-pack  (o repo quoc-chien)
kaylousberg/kaykit-series-4	KayKit - Character Pack : Mystery Monthly Series 4	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$19.99	3d	node tools/tai_itch.mjs kaylousberg/kaykit-series-4  (o repo quoc-chien)
quaternius/ultimate-platformer-pack	Ultimate Platformer Pack (100+ Models)	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/ultimate-platformer-pack  (o repo quoc-chien)
kaylousberg/bits-bundle-1	KayKit : Bits Bundle 1	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$19.95	3d	node tools/tai_itch.mjs kaylousberg/bits-bundle-1  (o repo quoc-chien)
styloo/classroom-asset-pack	School Classrooms Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/classroom-asset-pack  (o repo quoc-chien)
designersoup/low-poly-car-pack-1	FREE – Low Poly Car Starter Pack	designersoup	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs designersoup/low-poly-car-pack-1  (o repo quoc-chien)
maxparata/cc0-animations	Free Essential Animation pack - monogon	maxparata	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs maxparata/cc0-animations  (o repo quoc-chien)
kkryy/streetfurniture	Retro Psx Street Furniture	kkryy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kkryy/streetfurniture  (o repo quoc-chien)
fertile-soil-productions/modular-terrain-pack	Modular Terrain Pack	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/modular-terrain-pack  (o repo quoc-chien)
wriks/wrad-arms	WRAD ARMS	wriks	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs wriks/wrad-arms  (o repo quoc-chien)
binbun3d/explosion-fx	Explosion FX - Godot 3D Effects	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/explosion-fx  (o repo quoc-chien)
styloo/chibi	Chibi Characters	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/chibi  (o repo quoc-chien)
jestan/pixel-texture-pack	Pixel Texture Pack	jestan	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs jestan/pixel-texture-pack  (o repo quoc-chien)
chilly-durango/3dretroshacks	3D Retro Shacks Shanties Sheds & Gantries	chilly-durango	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chilly-durango/3dretroshacks  (o repo quoc-chien)
chilly-durango/3d-retro-plumbing-wiring	3D Retro Plumbing, Wiring & Machinery	chilly-durango	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chilly-durango/3d-retro-plumbing-wiring  (o repo quoc-chien)
kenney-assets/blaster-kit	Blaster Kit	kenney-assets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kenney-assets/blaster-kit  (o repo quoc-chien)
lowpolyassets/low-poly-household-item-pack	Low Poly Household Items Pack	lowpolyassets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs lowpolyassets/low-poly-household-item-pack  (o repo quoc-chien)
essssam/3d-leap-land	3D Leap Land Asset Pack	essssam	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs essssam/3d-leap-land  (o repo quoc-chien)
tinytreats/charming-kitchen	Tiny Treats - Charming Kitchen set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/charming-kitchen  (o repo quoc-chien)
chilly-durango/medieval-building-parts	3D Retro Medieval/Fantasy Building Kit	chilly-durango	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chilly-durango/medieval-building-parts  (o repo quoc-chien)
fertile-soil-productions/modular-house-collection	Modular House Collection	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/modular-house-collection  (o repo quoc-chien)
kaylousberg/holiday-bits	KayKit : Holiday Bits	kaylousberg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kaylousberg/holiday-bits  (o repo quoc-chien)
styloo/random	Random Objects	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/random  (o repo quoc-chien)
styloo/mari	Mari Character	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/mari  (o repo quoc-chien)
tinytreats/house-plants	Tiny Treats - House Plants set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/house-plants  (o repo quoc-chien)
rgsdev/free-modular-low-poly-dungeon-pack-by-rgsdev	Free Modular Low Poly Dungeon Pack	rgsdev	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs rgsdev/free-modular-low-poly-dungeon-pack-by-rgsdev  (o repo quoc-chien)
styloo/animals	Animals Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/animals  (o repo quoc-chien)
styloo/farm	COZY FARM	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/farm  (o repo quoc-chien)
milkandbanana/cooking-assets	Cooking Assets	milkandbanana	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs milkandbanana/cooking-assets  (o repo quoc-chien)
binbun3d/muzzle-flash-vfx	Muzzle Flash VFX - Godot 3D	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/muzzle-flash-vfx  (o repo quoc-chien)
tinytreats/pretty-park	Tiny Treats - Pretty Park set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/pretty-park  (o repo quoc-chien)
binbun3d/godot-grass	Godot Grass Shader	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/godot-grass  (o repo quoc-chien)
tinytreats/bakery-interior	Tiny Treats - Bakery Interior set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/bakery-interior  (o repo quoc-chien)
tinytreats/baked-goods	Tiny Treats - Baked Goods set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/baked-goods  (o repo quoc-chien)
chilly-durango/2dieselpunktanks	2 Retro 3D Dieselpunk Tanks	chilly-durango	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chilly-durango/2dieselpunktanks  (o repo quoc-chien)
styloo/company	The Company Characters Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/company  (o repo quoc-chien)
tinytreats/homely-house	Tiny Treats - Homely House set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/homely-house  (o repo quoc-chien)
daniel-jurys/psx-derelict-furniture	PSX Derelict Furniture	daniel-jurys	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs daniel-jurys/psx-derelict-furniture  (o repo quoc-chien)
devilsworkshop/essential-low-poly-isometric-3d-block-and-hex-pack	Low Poly 3D Block - Devils Work.shop	devilsworkshop	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs devilsworkshop/essential-low-poly-isometric-3d-block-and-hex-pack  (o repo quoc-chien)
binbun3d/hit-fx	Hit FX - Godot 3D Effects	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/hit-fx  (o repo quoc-chien)
styloo/food	Food & Kitchen Props	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/food  (o repo quoc-chien)
tinytreats/bubbly-bathroom	Tiny Treats - Bubbly Bathroom set	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs tinytreats/bubbly-bathroom  (o repo quoc-chien)
fertile-soil-productions/temple-modular-collection	Modular Temple Pack	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/temple-modular-collection  (o repo quoc-chien)
loafbrr/mines-and-cave-set	Mines and Cave Modular Set	loafbrr	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs loafbrr/mines-and-cave-set  (o repo quoc-chien)
visionsmind/highlands-fantasy-pack-3d	Highlands - Fantasy 3D Buildings Pack	visionsmind	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs visionsmind/highlands-fantasy-pack-3d  (o repo quoc-chien)
austin-io/voxel-dungeon-set	Voxel Dungeon Set	austin-io	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs austin-io/voxel-dungeon-set  (o repo quoc-chien)
styloo/vil	Village Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/vil  (o repo quoc-chien)
nojoule/pixel-portals	Pixel Portals	nojoule	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs nojoule/pixel-portals  (o repo quoc-chien)
wizp/lowpoly-stylized-fantasy-enviroment-pack	Lowpoly stylized fantasy enviroment pack	wizp	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs wizp/lowpoly-stylized-fantasy-enviroment-pack  (o repo quoc-chien)
binbun3d/magic-projectiles-vfx	Magic Projectiles VFX - Godot 3D	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/magic-projectiles-vfx  (o repo quoc-chien)
binbun3d/flame-fx	Flame FX - Godot 3D Effects	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/flame-fx  (o repo quoc-chien)
kkryy/retro-interior-pack	Retro Model Pack Interior	kkryy	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs kkryy/retro-interior-pack  (o repo quoc-chien)
chilly-durango/low-poly-firearms	Low Poly Gun Models	chilly-durango	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chilly-durango/low-poly-firearms  (o repo quoc-chien)
milkandbanana/lab-assets	Lab Assets	milkandbanana	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs milkandbanana/lab-assets  (o repo quoc-chien)
styloo/robot-character	Robot character	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/robot-character  (o repo quoc-chien)
rg-poly/rg-poly-all-in-one	RG Poly Vol. 1	rg-poly	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$25	3d	node tools/tai_itch.mjs rg-poly/rg-poly-all-in-one  (o repo quoc-chien)
felixstrefter/medieval-voxel-assets	Medieval Voxel Assets	felixstrefter	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs felixstrefter/medieval-voxel-assets  (o repo quoc-chien)
styloo/3dfood	3D Food Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/3dfood  (o repo quoc-chien)
loafbrr/interiors-a	Interiors A	loafbrr	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs loafbrr/interiors-a  (o repo quoc-chien)
styloo/chicken	CHICKEN ESCAPE ASSET PACK	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/chicken  (o repo quoc-chien)
lowpolyassets/low-poly-construction-pack	Low Poly Construction Pack	lowpolyassets	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs lowpolyassets/low-poly-construction-pack  (o repo quoc-chien)
binbun3d/status-fx	Status FX - Godot 3D Effects	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/status-fx  (o repo quoc-chien)
fertile-soil-productions/spaceship-blocks-collection	Spaceship Blocks Collection	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/spaceship-blocks-collection  (o repo quoc-chien)
styloo/dungeon-asset-pack	Dungeon Asset Pack	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/dungeon-asset-pack  (o repo quoc-chien)
binbun3d/electric-fx	Electric FX - Godot 3D Effects	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/electric-fx  (o repo quoc-chien)
styloo/scooter	Simple scooter Asset	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/scooter  (o repo quoc-chien)
styloo/car	Low Poly Car	styloo	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs styloo/car  (o repo quoc-chien)
loafbrr/wood-furnitures	Wood Furnitures	loafbrr	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs loafbrr/wood-furnitures  (o repo quoc-chien)
quaternius/3d-card-kit-fantasy	3D Card Kit - Fantasy	quaternius	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs quaternius/3d-card-kit-fantasy  (o repo quoc-chien)
binbun3d/loot-vfx	Loot VFX - Godot 3D	binbun3d	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs binbun3d/loot-vfx  (o repo quoc-chien)
tinytreats/collection-1	Tiny Treats - Collection 1	tinytreats	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	$19.95	3d	node tools/tai_itch.mjs tinytreats/collection-1  (o repo quoc-chien)
chafmere/godot-4-fps-controller	Godot 4 FPS Controller	chafmere	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs chafmere/godot-4-fps-controller  (o repo quoc-chien)
gualtierisgg/3d-low-poly-potions-and-flasks	3D Low Poly Potions and Flasks (3 Color variations)	gualtierisgg	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs gualtierisgg/3d-low-poly-potions-and-flasks  (o repo quoc-chien)
amarilloarts/blender-chan	Blender-chan: Free Blender character	amarilloarts	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs amarilloarts/blender-chan  (o repo quoc-chien)
fertile-soil-productions/modular-racekart-track-hilly-terrain-theme	Modular Racekart Track - Hilly Terrain Theme	fertile-soil-productions	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs fertile-soil-productions/modular-racekart-track-hilly-terrain-theme  (o repo quoc-chien)
mreliptik/office-low-poly-pack	Office low poly pack	mreliptik	CC0 (theo bo loc itch - kiem lai LICENSE trong goi)	mien phi	3d	node tools/tai_itch.mjs mreliptik/office-low-poly-pack  (o repo quoc-chien)
