id	ten	tac_gia	license	loai	nguon	dinh_dang	tu_khoa	ghi_cong	cach_lay
20d4a049-73dd-4862-89fa-001a0d3ff511	Banner of English Mistery	Slovn13	CC0	illustration	wikimedia	svg	banner	"Banner of English Mistery" by Slovn13 is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/6/61/Banner_of_English_Mistery.svg"
9f962525-403b-472c-8921-a4b5357bdda9	JGEC Horizontal Banner	NLBRT	CC-BY 4.0	illustration	wikimedia	svg	banner	"JGEC Horizontal Banner" by NLBRT is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/c/cf/JGEC_Horizontal_Banner.svg"
96c87b63-7fc7-48cf-be26-4f0b5d8e1bc3	Flag of Black Banner Organization	Throwaway865432	CC0	illustration	wikimedia	svg	banner	"Flag of Black Banner Organization" by Throwaway865432 is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/2/24/Flag_of_Black_Banner_Organization.svg"
99d2627f-95e4-4833-afbd-2a7fe640a571	Flag of Cambodia (1948-1970)	Draw new flag by User:ទេព_សុវិចិត្រ	CC0	illustration	wikimedia	svg	flag	"Flag of Cambodia (1948-1970)" by Draw new flag by User:ទេព_សុវិចិត្រ is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en.	curl -O "https://upload.wikimedia.org/wikipedia/commons/0/0b/Flag_of_Cambodia_%281948-1970%29.svg"
7c9ce14f-b7e0-40ce-8d54-09639e62551b	Sports flag icons - Purple amber white with horn	Original by Teo's89, vectorized by ReneeWrites	CC-BY 4.0	illustration	wikimedia	svg	flag	"Sports flag icons - Purple amber white with horn" by Original by Teo's89, vectorized by ReneeWrites is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/9/9c/Sports_flag_icons_-_Purple_amber_white_with_horn.svg"
cf9efdce-50a1-4af8-9a69-2927908b0298	Flag of Galmudug	Blackcat	CC0	illustration	wikimedia	svg	flag	"Flag of Galmudug" by Blackcat is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en.	curl -O "https://upload.wikimedia.org/wikipedia/commons/b/bb/Flag_of_Galmudug.svg"
d06a3124-e9d0-4de0-942b-aa86c64a2b53	Sports flag icons - Black pink diagonals with eagle	Original by Xander89, vectorized by ReneeWrites	CC-BY 4.0	illustration	wikimedia	svg	flag	"Sports flag icons - Black pink diagonals with eagle" by Original by Xander89, vectorized by ReneeWrites is licensed under CC BY 4.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/4.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/4/44/Sports_flag_icons_-_Black_pink_diagonals_with_eagle.svg"
07ad2afe-4673-40a8-9129-f6f039ebd009	Flag of Cambodia (pre-1863)	Blackcat	CC0	illustration	wikimedia	svg	flag	"Flag of Cambodia (pre-1863)" by Blackcat is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/0/0e/Flag_of_Cambodia_%28pre-1863%29.svg"
345f085c-0f36-45d4-a432-5ed5f36adfb1	Flag of British Bengal	Samhanin	CC-BY 3.0	illustration	wikimedia	svg	flag	"Flag of British Bengal" by Samhanin is licensed under CC BY 3.0. To view a copy of this license, visit https://creativecommons.org/licenses/by/3.0/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_British_Bengal.svg"
d8cf5967-fa0d-4bf6-9eff-84a7034b7833	Flag of Maine (province)	Patricia.fidi	CC0	illustration	wikimedia	svg	flag	"Flag of Maine (province)" by Patricia.fidi is marked with CC0 1.0. To view the terms, visit https://creativecommons.org/publicdomain/zero/1.0/deed.en/.	curl -O "https://upload.wikimedia.org/wikipedia/commons/e/ef/Flag_of_Maine_%28province%29.svg"
