id	ten	tac_gia	license	so_tam	dinh_dang	tag	cach_lay
HZPOZU2NiM	Fortress	CreativeTrio	CC0 1.0	4524	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fEJKTKNRAsN	Cathedral	Bruno Oliveira	CC-BY 3.0	1450	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
3r6gq3ow6O	Castle Fortress	Quaternius	CC0 1.0	9750	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
10YxF0_NaMa	Castle	Poly by Google	CC-BY 3.0	1320	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
y15yE6kWLY	Castle	Quaternius	CC0 1.0	8460	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
b_UDhVGwfY8	Fort	Poly by Google	CC-BY 3.0	3634	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0-QY2fr4eTL	Bowsers Castle 1st Draft	Spadez86	CC-BY 3.0	27122	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
tKTchdiQzV	Castle Gate	Quaternius	CC0 1.0	2064	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
UXCOwRBSxx	Barracks	Quaternius	CC0 1.0	8352	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
geisKzlSFZ	Stone Wall Towers	Quaternius	CC0 1.0	1792	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
aeuJiuWdknv	Castle	Poly by Google	CC-BY 3.0	4338	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
njoPJEjDQD	Wooden Encampment	Quaternius	CC0 1.0	4100	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5ZMAz7_ucTn	Sand castle	Poly by Google	CC-BY 3.0	2939	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5iuHHfVoaza	Sand castle	Poly by Google	CC-BY 3.0	4078	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
Iw8iXLqVs5	Bridge	Quaternius	CC0 1.0	486	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8PJfF1Q0B7T	Sand castle	Poly by Google	CC-BY 3.0	612	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
haOYC4y007	inn	Anonymous	CC-BY 3.0	21421	glb	castle	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
3mmIBtmmkkW	Factory	Poly by Google	CC-BY 3.0	22734	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fCiJW5Qdgbf	Factory	Poly by Google	CC-BY 3.0	538	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5nv98CqGjqR	Factory	Robert Schlyter	CC-BY 3.0	9346	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
dx1uO0LHse	High Fidelity BotLab	Alan Zimmerman	CC-BY 3.0	47240	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
4MpMlM-083K	SD Macross Factory Set	Tipatat Chennavasin	CC-BY 3.0	4694	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fiTYyyiZXqF	Factory	Poly by Google	CC-BY 3.0	934	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ilWoURnbZW	Structure	Quaternius	CC0 1.0	5123	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2J7L2oILiwP	Factory	Poly by Google	CC-BY 3.0	1824	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
fYFSfCNjt4X	Factory	Poly by Google	CC-BY 3.0	6342	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
ff3GvzmV_4w	FactoryFactory	Ian MacGillivray	CC-BY 3.0	6520	glb	factory	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6vzTphxL9w4	Church	Poly by Google	CC-BY 3.0	1370	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
8jSIJfw17cz	Church	Poly by Google	CC-BY 3.0	760	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
0Oe72PEPCK6	Church	Poly by Google	CC-BY 3.0	1470	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
GHzPfvoyzX	Church	CreativeTrio	CC0 1.0	2265	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
2-J0Y-8AQOG	Church	Poly by Google	CC-BY 3.0	4014	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5ii3ywpObcd	Temple	Poly by Google	CC-BY 3.0	795	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
6Fk2w-sKlk6	Chapel	Poly by Google	CC-BY 3.0	1268	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
5V3U0irP_Nm	Cathedral	Yero Yeh	CC-BY 3.0	29924	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
91dkDNqT7T8	Seat	CMHT Oculus	CC-BY 3.0	1952	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
7It38_3RN3R	Church	Poly by Google	CC-BY 3.0	2916	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
9NdTw29PT9M	Ru's Church 2.0	Rellik 66	CC-BY 3.0	29690	glb	church	tai bang may that - static.poly.pizza tra 403 cua Cloudflare
