ten	tac_gia	license	dinh_dang	trang	cach_lay
amphora	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/amphora.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/amphora.svg
ample-dress	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ample-dress.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ample-dress.svg
anarchy	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/anarchy.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/anarchy.svg
ancient-columns	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ancient-columns.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ancient-columns.svg
ancient-ruins	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ancient-ruins.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ancient-ruins.svg
ancient-screw	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ancient-screw.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ancient-screw.svg
ancient-sword	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ancient-sword.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ancient-sword.svg
angola	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/angola.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/angola.svg
angry-eyes	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/angry-eyes.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/angry-eyes.svg
animal-hide	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/animal-hide.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/animal-hide.svg
ant	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ant.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ant.svg
antarctica	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/antarctica.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/antarctica.svg
antibody	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/antibody.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/antibody.svg
anticlockwise-rotation	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/anticlockwise-rotation.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/anticlockwise-rotation.svg
ants	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/ants.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/ants.svg
anubis	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/anubis.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/anubis.svg
apollo-capsule	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/apollo-capsule.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/apollo-capsule.svg
apple-core	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/apple-core.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/apple-core.svg
aquarium	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aquarium.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aquarium.svg
aquarius	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aquarius.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aquarius.svg
aqueduct	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aqueduct.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aqueduct.svg
arabic-door	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arabic-door.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arabic-door.svg
arc-triomphe	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arc-triomphe.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arc-triomphe.svg
arch-bridge	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arch-bridge.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arch-bridge.svg
archer	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/archer.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/archer.svg
archive-register	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/archive-register.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/archive-register.svg
archive-research	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/archive-research.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/archive-research.svg
aries	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/aries.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/aries.svg
arm-bandage	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arm-bandage.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arm-bandage.svg
arm-sling	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arm-sling.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arm-sling.svg
arm	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/arm.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/arm.svg
armadillo	delapouite	CC-BY 3.0	svg,png	https://game-icons.net/1x1/delapouite/armadillo.html	curl -O https://game-icons.net/icons/ffffff/000000/1x1/delapouite/armadillo.svg
