id	ten	tac_gia	license	so_tam	dinh_dang	tag
bMLAy1YLmln	Bulb Flower	Emma Bittman	CREATIVE_COMMONS_BY 3.0	2986	GLTF2,GLTF1,USDZ,BLOCKS,GLB	curated
6rUwBqoeun5	Vacuum Bot | Pre-Tilt Brush	Emma Bittman	CREATIVE_COMMONS_BY 3.0	18800	GLTF2,BLOCKS,USDZ,GLTF1,GLB	curated,people
bvLXsDt9mww	Home Blocks Home	Julien Kleber (Juliusprod)	CREATIVE_COMMONS_BY 3.0	60102	GLTF2,BLOCKS,FBX,USDZ,GLB,OBJ,GLTF1	architecture,curated
mg2z-aQpvAY	Under the sea	Marva	CREATIVE_COMMONS_BY 4.0	11946	OBJ,BLOCKS	
VbPnTQ8c3fc	Christmas 1209-2.0	DorisAwy	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
fRKInJBPh0o	Too long time in VR	Virtec Attractions	CREATIVE_COMMONS_BY 3.0	16080	GLTF2,GLTF1,USDZ,BLOCKS,GLB	art,curated
jmmzI-408zE	Timmy	TheArtificeBunker	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
2eTpzuhdsjY	poly wall	TheArtificeBunker	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
FNzlzl8a7W0	naked fishbowl	inkibit	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
oseyA0h9VXo	Backseat Driver	matt_connors	CREATIVE_COMMONS_BY 4.0	28216	OBJ,BLOCKS	
7vObMrtWiw0	flame	TheArtificeBunker	CREATIVE_COMMONS_BY 4.0	0	GLTF2	
cnTMgkFoTS0	SF Street	Alan Zimmerman	CREATIVE_COMMONS_BY 3.0	37444	GLTF2,USDZ,BLOCKS,GLTF1,GLB	architecture,curated
ap9I6sv347V	Gun	Google	CREATIVE_COMMONS_BY 3.0	1284	GLTF1,GLTF2,USDZ,GLB	curated,handheld,objects,pistol,revolver,weapon
1zgZrMcC14_	Screw	Google	CREATIVE_COMMONS_BY 3.0	504	USDZ,GLTF2,GLB,GLTF1	assembly,curated,IKEA,objects,screw,screwdriver
aY_u8_L3EQ3	Corkscrew	Google	CREATIVE_COMMONS_BY 3.0	6432	GLTF2,GLB,GLTF1	bottle,curated,objects,wine
4873ED-rB3o	Screwdriver	Google	CREATIVE_COMMONS_BY 3.0	192	GLTF2,GLB,USDZ,GLTF1	curated,drill,nail,objects,screw,screwdriver,tools
3MhKRg4-2iP	Stage11 RedRobo TheWaveVR	lovedoll	CREATIVE_COMMONS_BY 3.0	33929	GLTF1,GLTF2,USDZ,GLB	curated,transport
1rAj33o-79y	int	john benton	CREATIVE_COMMONS_BY 3.0	232	GLTF2,BLOCKS,USDZ,GLTF1,GLB	curated
c96QrJRHHw6	Interior	grigor barseghyan	CREATIVE_COMMONS_BY 3.0	205276	USDZ,GLTF2,GLTF1,GLB	
1L9OjE5KOlC	Shark fin	Google	CREATIVE_COMMONS_BY 3.0	88	GLTF1,USDZ,GLTF2,GLB	animals,aquatic,curated,fin,ocean,sea,shark,underwater
aTeud-DO2I0	Classroom	Bhudsaba Wattanasiri	CREATIVE_COMMONS_BY 3.0	1410	GLTF2,USDZ,GLB,GLTF1	
e7GWL_ZrHxh	10 Point Spiral - Rainbow 4	lovedoll	CREATIVE_COMMONS_BY 3.0	21760	USDZ,GLTF2,GLB,GLTF1	art
ehj2YofE4cU	petblo cubes defining a sphere	Ross B	CREATIVE_COMMONS_BY 3.0	2184	GLTF1,GLTF2,USDZ,GLB	science
6TsM_i9mBXW	petblo cubes defining sphere 2	Ross B	CREATIVE_COMMONS_BY 3.0	2184	GLTF2,GLTF1,USDZ,GLB	science
7PNIMdmMSPD	girl	konta johanna	CREATIVE_COMMONS_BY 3.0	3675	USDZ,GLTF2,GLTF1,GLB	curated,people
eQ7bdS3Rqso	Woman obj	Bruno Paredes	CREATIVE_COMMONS_BY 3.0	37183	GLTF2,GLTF1,USDZ,GLB	
8ALc6I1IxiH	woman	Mathias Selander	CREATIVE_COMMONS_BY 3.0	1164526	GLTF1,USDZ,GLTF2,FBX,GLB	
6Dud1E57_Ri	SpaceIslandsWoman	Hello Hola	CREATIVE_COMMONS_BY 3.0	161344	GLTF2,USDZ,GLB,GLTF1	culture
3NyDG14jSuL	human	Евгений Джем	CREATIVE_COMMONS_BY 3.0	546635	USDZ,GLTF2,GLB,GLTF1	curated,people
a0c1_U0qrZb	Woman 2.0	Hanne Rathcke Elbæk	CREATIVE_COMMONS_BY 3.0	16424	GLTF2,USDZ,GLB,GLTF1	people
fbDxapxkwY9	Truck	sugamo	CREATIVE_COMMONS_BY 3.0	3084	GLTF2,OBJ,FBX,USDZ,BLOCKS,GLB,GLTF1	curated,transport
2RUnO1Yi99P	Palm tree	Google	CREATIVE_COMMONS_BY 3.0	2182	USDZ,GLTF1,GLTF2,GLB	coconuts,curated,nature,plant,tropical
8jIEzIe2-w6	Wanderlings Spaceship Interior	Scott Marshall	CREATIVE_COMMONS_BY 3.0	2311	GLTF1,GLTF2,USDZ,GLB	art
9WHlbWfY5C9	Forestv5	Charlie Livaudais	CREATIVE_COMMONS_BY 3.0	149410	GLTF2,GLTF1,USDZ,BLOCKS,FBX,OBJ,GLB	
4WtauLlC2HO	Forest Park	Sean Tarrant	CREATIVE_COMMONS_BY 3.0	5600	GLTF2,BLOCKS,USDZ,GLB,GLTF1	curated,nature
dLHpzNdygsg	Astronaut	Google	CREATIVE_COMMONS_BY 3.0	1604	GLTF2,GLB,USDZ,GLTF1	curated,exploration,people,solarsystem,space
64AXoVNn5E1	Scott via Artec	Scott Nagy	CREATIVE_COMMONS_BY 3.0	600000	GLTF2,USDZ,GLTF1,GLB	curated,people
fFO8PRF2tke	girl	konta johanna	CREATIVE_COMMONS_BY 3.0	3020	USDZ,GLTF2,GLTF1,GLB	curated,people
4MMQYWR5Xi0	Dhalsim	Anonymous	CREATIVE_COMMONS_BY 3.0	13444	GLTF2,GLTF1,USDZ,BLOCKS,GLB	curated,people,test
4vds6twPsb7	pim	Erwin Braak	CREATIVE_COMMONS_BY 3.0	586149	GLTF1,USDZ,GLTF2,GLB	curated,people
6dM1J6f6pm9	Cat	Google	CREATIVE_COMMONS_BY 3.0	594	GLTF2,USDZ,GLTF1,GLB	animals,cat,curated,domestic,feline,mammal
9OIDLnwBg30	jhey	Julio Rodriguez	CREATIVE_COMMONS_BY 3.0	104880	GLTF1,GLTF2,USDZ,GLB	curated,people
2binsxeOBve	Rio de Janeiro	Alan Zimmerman	CREATIVE_COMMONS_BY 3.0	18244	GLTF2,GLB,FBX,USDZ,BLOCKS,OBJ,GLTF1	curated,scenes
0U-R52aQ1fQ	Little City	Michal Minecki	CREATIVE_COMMONS_BY 3.0	7256	GLTF2,OBJ,FBX,USDZ,BLOCKS,GLTF1,GLB	architecture,curated
emG0dq38D8f	Wikiplanet Space Station (WSS)	Alan Zimmerman	CREATIVE_COMMONS_BY 3.0	40894	GLTF2,OBJ,GLTF1,BLOCKS,FBX,USDZ,GLB	curated,transport
3PV5OFjavjj	Vintage Space Suit	Mark Creasy	CREATIVE_COMMONS_BY 3.0	4845	GLTF2,OBJ,GLTF1,BLOCKS,USDZ,FBX,GLB	science
fzCu8FM0HfB	Koala	Google	CREATIVE_COMMONS_BY 3.0	548	GLTF1,USDZ,GLTF2,GLB	animals,australia,bear,curated,wildlife
fklSEvGm1Q8	Turtle	Google	CREATIVE_COMMONS_BY 3.0	1790	USDZ,GLTF2,GLTF1,GLB	animals,curated,marine,reptile,sea,tortise
fPiBf8Kiwf6	Canoe	Google	CREATIVE_COMMONS_BY 3.0	764	GLTF1,GLTF2,USDZ,GLB	boat,curated,paddle,transport
fQ5KzXoR2uA	Squirrel	Google	CREATIVE_COMMONS_BY 3.0	636	GLTF2,USDZ,GLTF1,GLB	animals,curated,forest,mammal,parks,rodent
frVFwZAW6z3	Macaw	Google	CREATIVE_COMMONS_BY 3.0	1572	GLTF2,USDZ,GLTF1,GLB	animals,bird,curated,exotic,hyacinthmacaw,parrot,rainforest,tropical
fUo4AIcd8XR	Deer	Google	CREATIVE_COMMONS_BY 3.0	836	USDZ,GLTF2,GLTF1,GLB	animals,antlers,curated,wildlife,woodland
fvrGuzZjGu2	Bicycle	Google	CREATIVE_COMMONS_BY 3.0	27994	USDZ,GLTF2,GLTF1,GLB	bike,curated,transport
2YEpMsEzqJc	wheelbasegrid	Andreas U.	CREATIVE_COMMONS_BY 3.0	10712	GLTF2,USDZ,GLB,GLTF1	
5rf3YuZfJAW	Pond	Google	CREATIVE_COMMONS_BY 3.0	731	GLTF2,USDZ,GLTF1,GLB	curated,lake,lillypad,nature,water
5v5j_lqOHTO	Teacher	Google	CREATIVE_COMMONS_BY 3.0	1014	GLB,GLTF1,GLTF2,USDZ	curated,educator,people,professor,scholar
9y9CNyYqmcN	girl	konta johanna	CREATIVE_COMMONS_BY 3.0	3468	GLTF2,USDZ,GLB,GLTF1	curated,people
dO4nxtxCNPF	Model poss	Enter Inventive Studio	CREATIVE_COMMONS_BY 3.0	1131760	GLTF1,GLTF2,USDZ,GLB	curated,people
