id	ten	tac_gia	license	dinh_dang	cach_lay
356691	castle-gate	?	CC0	svg,png	curl -O https://openclipart.org/download/356691/castle-gate.svg
356690	bowman	?	CC0	svg,png	curl -O https://openclipart.org/download/356690/bowman.svg
356689	official-seal-of-ia-bullshit-flat-version	?	CC0	svg,png	curl -O https://openclipart.org/download/356689/official-seal-of-ia-bullshit-flat-version.svg
356688	official-seal-of-ia-bullshit	?	CC0	svg,png	curl -O https://openclipart.org/download/356688/official-seal-of-ia-bullshit.svg
356687	remake-the-trigolden-flower-3	?	CC0	svg,png	curl -O https://openclipart.org/download/356687/remake-the-trigolden-flower-3.svg
356686	golden-quadrilateral-flower-3	?	CC0	svg,png	curl -O https://openclipart.org/download/356686/golden-quadrilateral-flower-3.svg
356685	cartoon-human	?	CC0	svg,png	curl -O https://openclipart.org/download/356685/cartoon-human.svg
356684	golden-quadrilateral-flower2	?	CC0	svg,png	curl -O https://openclipart.org/download/356684/golden-quadrilateral-flower2.svg
356683	the-sirens-of-titan-iii-with-dragon	?	CC0	svg,png	curl -O https://openclipart.org/download/356683/the-sirens-of-titan-iii-with-dragon.svg
356682	sirens-of-titan-ii-with-dragon	?	CC0	svg,png	curl -O https://openclipart.org/download/356682/sirens-of-titan-ii-with-dragon.svg
356681	sirens-of-titan-i-with-dragon	?	CC0	svg,png	curl -O https://openclipart.org/download/356681/sirens-of-titan-i-with-dragon.svg
356679	mrs-fiske	?	CC0	svg,png	curl -O https://openclipart.org/download/356679/mrs-fiske.svg
356678	pizza-slice	?	CC0	svg,png	curl -O https://openclipart.org/download/356678/pizza-slice.svg
356675	golden-quadrilateral-flower	?	CC0	svg,png	curl -O https://openclipart.org/download/356675/golden-quadrilateral-flower.svg
356674	bookworm	?	CC0	svg,png	curl -O https://openclipart.org/download/356674/bookworm.svg
356673	i-played-trirhombus-with-expert-ai	?	CC0	svg,png	curl -O https://openclipart.org/download/356673/i-played-trirhombus-with-expert-ai.svg
356672	i-played-trirhombus-with-expert-ai	?	CC0	svg,png	curl -O https://openclipart.org/download/356672/i-played-trirhombus-with-expert-ai.svg
356671	parasaurolophus	?	CC0	svg,png	curl -O https://openclipart.org/download/356671/parasaurolophus.svg
356670	dice	?	CC0	svg,png	curl -O https://openclipart.org/download/356670/dice.svg
356669	money-drugs-and-gambling	?	CC0	svg,png	curl -O https://openclipart.org/download/356669/money-drugs-and-gambling.svg
356667	location-of-lake-ontario	?	CC0	svg,png	curl -O https://openclipart.org/download/356667/location-of-lake-ontario.svg
356666	old-witch-and-bats	?	CC0	svg,png	curl -O https://openclipart.org/download/356666/old-witch-and-bats.svg
356665	woman-holding-skull	?	CC0	svg,png	curl -O https://openclipart.org/download/356665/woman-holding-skull.svg
356664	lawn-mower	?	CC0	svg,png	curl -O https://openclipart.org/download/356664/lawn-mower.svg
356732	carrying-timber-in-rangoon	?	CC0	svg,png	curl -O https://openclipart.org/download/356732/carrying-timber-in-rangoon.svg
356731	preparing-food	?	CC0	svg,png	curl -O https://openclipart.org/download/356731/preparing-food.svg
356730	making-chapaties	?	CC0	svg,png	curl -O https://openclipart.org/download/356730/making-chapaties.svg
356729	leatherback-sea-turtle	?	CC0	svg,png	curl -O https://openclipart.org/download/356729/leatherback-sea-turtle.svg
356728	exercise-woman	?	CC0	svg,png	curl -O https://openclipart.org/download/356728/exercise-woman.svg
356727	dog	?	CC0	svg,png	curl -O https://openclipart.org/download/356727/dog.svg
356726	hippopotamus	?	CC0	svg,png	curl -O https://openclipart.org/download/356726/hippopotamus.svg
356725	where-to-go-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356725/where-to-go-remix.svg
356724	banner-with-fruits	?	CC0	svg,png	curl -O https://openclipart.org/download/356724/banner-with-fruits.svg
356723	stone-sarcofagus	?	CC0	svg,png	curl -O https://openclipart.org/download/356723/stone-sarcofagus.svg
356722	man-smoking-a-pipe	?	CC0	svg,png	curl -O https://openclipart.org/download/356722/man-smoking-a-pipe.svg
356721	cairn	?	CC0	svg,png	curl -O https://openclipart.org/download/356721/cairn.svg
356720	salt	?	CC0	svg,png	curl -O https://openclipart.org/download/356720/salt.svg
356719	cottage	?	CC0	svg,png	curl -O https://openclipart.org/download/356719/cottage.svg
356718	frog-smoking-a-pipe	?	CC0	svg,png	curl -O https://openclipart.org/download/356718/frog-smoking-a-pipe.svg
356717	aircraft	?	CC0	svg,png	curl -O https://openclipart.org/download/356717/aircraft.svg
356716	where-to-go	?	CC0	svg,png	curl -O https://openclipart.org/download/356716/where-to-go.svg
356715	letters	?	CC0	svg,png	curl -O https://openclipart.org/download/356715/letters.svg
356714	woman-with-stroller	?	CC0	svg,png	curl -O https://openclipart.org/download/356714/woman-with-stroller.svg
356713	cairn	?	CC0	svg,png	curl -O https://openclipart.org/download/356713/cairn.svg
356712	carved-stone	?	CC0	svg,png	curl -O https://openclipart.org/download/356712/carved-stone.svg
356711	bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-kh%C3%B4ng-l%E1%BB%B1c	?	CC0	svg,png	curl -O https://openclipart.org/download/356711/bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-kh%C3%B4ng-l%E1%BB%B1c.svg
356710	kawaii-cat	?	CC0	svg,png	curl -O https://openclipart.org/download/356710/kawaii-cat.svg
356709	secretarial-office-chair	?	CC0	svg,png	curl -O https://openclipart.org/download/356709/secretarial-office-chair.svg
356708	phlora-with-butterflies	?	CC0	svg,png	curl -O https://openclipart.org/download/356708/phlora-with-butterflies.svg
356707	phloras-picks-5	?	CC0	svg,png	curl -O https://openclipart.org/download/356707/phloras-picks-5.svg
356706	phloras-picks-4	?	CC0	svg,png	curl -O https://openclipart.org/download/356706/phloras-picks-4.svg
356705	dighton-rock	?	CC0	svg,png	curl -O https://openclipart.org/download/356705/dighton-rock.svg
356704	sumo-wrestlers	?	CC0	svg,png	curl -O https://openclipart.org/download/356704/sumo-wrestlers.svg
356703	men-talking-politics	?	CC0	svg,png	curl -O https://openclipart.org/download/356703/men-talking-politics.svg
356702	man-drinking-coffee	?	CC0	svg,png	curl -O https://openclipart.org/download/356702/man-drinking-coffee.svg
356701	christmas-greetings	?	CC0	svg,png	curl -O https://openclipart.org/download/356701/christmas-greetings.svg
356663	creature	?	CC0	svg,png	curl -O https://openclipart.org/download/356663/creature.svg
356662	grumpy-cat-in-circle	?	CC0	svg,png	curl -O https://openclipart.org/download/356662/grumpy-cat-in-circle.svg
356661	s-as-in-ship	?	CC0	svg,png	curl -O https://openclipart.org/download/356661/s-as-in-ship.svg
356660	tulips-with-different-ai	?	CC0	svg,png	curl -O https://openclipart.org/download/356660/tulips-with-different-ai.svg
356659	highland-cow	?	CC0	svg,png	curl -O https://openclipart.org/download/356659/highland-cow.svg
356658	phloras-picks-iii	?	CC0	svg,png	curl -O https://openclipart.org/download/356658/phloras-picks-iii.svg
356657	phloras-picks-ii	?	CC0	svg,png	curl -O https://openclipart.org/download/356657/phloras-picks-ii.svg
356656	phloras-picks-i	?	CC0	svg,png	curl -O https://openclipart.org/download/356656/phloras-picks-i.svg
356655	antique-car-colour-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356655/antique-car-colour-remix.svg
356654	punk-woman-colour-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356654/punk-woman-colour-remix.svg
356653	man-lifting-rock-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356653/man-lifting-rock-remix.svg
356652	sea-lion	?	CC0	svg,png	curl -O https://openclipart.org/download/356652/sea-lion.svg
356651	elephant-seal	?	CC0	svg,png	curl -O https://openclipart.org/download/356651/elephant-seal.svg
356650	ram	?	CC0	svg,png	curl -O https://openclipart.org/download/356650/ram.svg
356649	white-tiger	?	CC0	svg,png	curl -O https://openclipart.org/download/356649/white-tiger.svg
356648	bonobo	?	CC0	svg,png	curl -O https://openclipart.org/download/356648/bonobo.svg
356647	white-lion	?	CC0	svg,png	curl -O https://openclipart.org/download/356647/white-lion.svg
356646	collared-puffbird	?	CC0	svg,png	curl -O https://openclipart.org/download/356646/collared-puffbird.svg
356645	flycatcher	?	CC0	svg,png	curl -O https://openclipart.org/download/356645/flycatcher.svg
356644	collared-puff-bird	?	CC0	svg,png	curl -O https://openclipart.org/download/356644/collared-puff-bird.svg
356643	ankylosaurus	?	CC0	svg,png	curl -O https://openclipart.org/download/356643/ankylosaurus.svg
356642	lion-icon	?	CC0	svg,png	curl -O https://openclipart.org/download/356642/lion-icon.svg
356641	dining-room	?	CC0	svg,png	curl -O https://openclipart.org/download/356641/dining-room.svg
356640	rigid-smiley	?	CC0	svg,png	curl -O https://openclipart.org/download/356640/rigid-smiley.svg
356639	edmontosaurus	?	CC0	svg,png	curl -O https://openclipart.org/download/356639/edmontosaurus.svg
356638	booby	?	CC0	svg,png	curl -O https://openclipart.org/download/356638/booby.svg
356637	yellow-watermelon-remix	?	CC0	svg,png	curl -O https://openclipart.org/download/356637/yellow-watermelon-remix.svg
356636	tern	?	CC0	svg,png	curl -O https://openclipart.org/download/356636/tern.svg
356635	2027-typography	?	CC0	svg,png	curl -O https://openclipart.org/download/356635/2027-typography.svg
356634	number-animals-remastered	?	CC0	svg,png	curl -O https://openclipart.org/download/356634/number-animals-remastered.svg
356633	pocket-watch	?	CC0	svg,png	curl -O https://openclipart.org/download/356633/pocket-watch.svg
356632	standing-stone	?	CC0	svg,png	curl -O https://openclipart.org/download/356632/standing-stone.svg
356562	demon-hand-with-sign	?	CC0	svg,png	curl -O https://openclipart.org/download/356562/demon-hand-with-sign.svg
356561	lemon-slices-isolated	?	CC0	svg,png	curl -O https://openclipart.org/download/356561/lemon-slices-isolated.svg
